id_parlamentar,casa,nome_eleitoral,partido,UF,twitter,seguidores,segue,n_proprio,n_retweet,engaj_total,engaj_total_proprio,engaj_total_retweet,engaj_mediano,engaj_mediano_proprio,engaj_mediano_retweet,engaj_max,engaj_max_proprio,engaj_max_retweet
141513,câmara,BILAC PINTO,DEM,MG,bilac_pinto,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204561,câmara,BIRA DO PINDARÉ,PSB,MA,BiradoPindare,9032,627,264,165,151052,3344,147708,11,4,0,24527,168,24527
204397,câmara,BOCA ABERTA,PROS,PR,BocaAbertaOf,247,210,116,11,955,427,528,3,2,0,444,27,444
160538,câmara,BOHN GASS,PT,RS,BOHNGASS,NA,NA,0,0,0,0,0,0,0,0,0,0,0
74052,câmara,BOSCO COSTA,PR,SE,BoscoCosta1234,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204551,câmara,BOSCO SARAIVA,SOLIDARIEDADE,AM,boscosaraiva,1944,863,133,1,2306,2296,10,17,17,0,39,39,10
160589,câmara,BRUNA FURLAN,PSDB,SP,BrunaFurlan_,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204520,câmara,CABO JUNIO AMARAL,PSL,MG,cabojunioamaral,7575,63,38,3,46227,21803,24424,243,182,0,19559,9516,19559
93083,câmara,CACÁ LEÃO,PP,BA,CacaLeao‏,NA,NA,0,0,0,0,0,0,0,0,0,0,0
178853,câmara,CAETANO,PT,BA,DepCaetano‏,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204352,câmara,CAMILO CAPIBERIBE,PSB,AP,CamiloPSB,43203,3369,142,127,49358,2985,46373,11,2,0,8880,238,8880
204572,câmara,CAPITÃO ALBERTO NETO,PRB,AM,capalbertoneto,224,53,82,4,599,587,12,7,7,0,19,19,5
178829,câmara,CAPITÃO AUGUSTO,PR,SP,capitao_augusto,NA,NA,0,0,0,0,0,0,0,0,0,0,0
178924,câmara,CAPITÃO FÁBIO ABREU,PR,PI,depfabioabreu,49,23,61,0,85,85,0,1,1,0,5,5,0
204487,câmara,CAPITÃO WAGNER,PROS,CE,capitao_wagner,2442,439,58,1,791,790,1,14,14,0,69,69,1
204507,câmara,CARLA ZAMBELLI,PSL,SP,CarlaZambelli17,103029,156,776,223,3310137,2822907,487230,848,88,0,33584,33584,28088
141401,câmara,CARLOS BEZERRA,MDB,MT,CarlosBezerraJr,49967,15152,117,17,6696,4636,2060,17,15,0,1407,370,1407
204361,câmara,CARLOS CHIODINI,MDB,SC,carloschiodini,1742,1333,55,11,10891,234,10657,4,3,0,5672,18,5672
178962,câmara,CARLOS GOMES,PRB,RS,carlosgomesdep,1518,1205,3,0,0,0,0,0,0,0,0,0,0
178993,câmara,CARLOS HENRIQUE GAGUIM,DEM,TO,carlos_gaguim,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204460,câmara,CARLOS JORDY,PSL,RJ,carlosjordy,23127,907,533,134,672801,429406,243395,309,65,0,19730,13034,19730
74262,câmara,CARLOS SAMPAIO,PSDB,SP,carlossampaio_,62640,1812,37,0,7996,7996,0,149,149,0,1150,1150,0
204426,câmara,CARLOS VERAS,PT,PE,carlosveras1314,NA,NA,0,0,0,0,0,0,0,0,0,0,0
141398,câmara,CARLOS ZARATTINI,PT,SP,CarlosZarattini,15825,1050,225,327,244705,29580,215125,65,0,7.5,17271,3415,17271
164360,câmara,CARMEN ZANOTTO,PPS,SC,carmenzanotto,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204369,câmara,CAROLINE DE TONI,PSL,SC,CarolDeToni3,5906,91,13,4,19964,1720,18244,127,103,0,10218,340,10218
204499,câmara,CÁSSIO ANDRADE,PSB,PA,Cassio_4011,1467,143,63,0,129,129,0,2,2,0,6,6,0
204380,câmara,CELINA LEÃO,PP,DF,celinaleao,5969,446,66,6,3182,210,2972,2,2,0,2294,22,2294
204370,câmara,CÉLIO MOURA,PT,TO,CelioMoura13,NA,NA,0,0,0,0,0,0,0,0,0,0,0
178876,câmara,CÉLIO SILVEIRA,PSDB,GO,csilveira4599 ‏,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204488,câmara,CÉLIO STUDART,PV,CE,CelioStudart,665,1269,23,0,244,244,0,11,11,0,24,24,0
141405,câmara,CELSO MALDANER,MDB,SC,celsomaldaner,NA,NA,0,0,0,0,0,0,0,0,0,0,0
73441,câmara,CELSO RUSSOMANNO,PRB,SP,celsorussomanno,130091,99,43,1,541,528,13,11.5,11,0,42,42,13
204496,câmara,CELSO SABINO,PSDB,PA,celso_sabino,1460,1168,113,4,3041,2997,44,18,18,0,881,881,14
204504,câmara,CEZINHA DE MADUREIRA,PSD,SP,Czmadureira,172,94,10,0,32,32,0,4,4,0,6,6,0
205476,câmara,CHARLES FERNANDES,PSD,BA,CharlesGbi,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204490,câmara,CHARLLES EVANGELISTA,PSL,MG,charllesevg,278,429,44,3,2555,104,2451,2,2,0,1662,9,1662
141439,câmara,CHICO D'ANGELO,PDT,RJ,chico_dangelo,14914,4789,240,392,489022,3942,485080,91.5,0,66,45459,566,45459
204476,câmara,CHIQUINHO BRAZÃO,AVANTE,RJ,BrazaoChiquinho,163,19,8,0,10,10,0,1,1,0,3,3,0
204462,câmara,CHRIS TONIETTO,PSL,RJ,ChrisTonietto17,NA,NA,0,0,0,0,0,0,0,0,0,0,0
178928,câmara,CHRISTIANE DE SOUZA YARED,PR,PR,christianeyared,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204440,câmara,CHRISTINO AUREO,PP,RJ,christinoaureo,1454,460,84,0,88,88,0,1,1,0,4,4,0
178939,câmara,CLARISSA GAROTINHO,PROS,RJ,dep_clarissa,14764,330,21,5,1174,143,1031,5,3,0,966,25,966
74537,câmara,CLAUDIO CAJADO,PP,BA,claudio_cajado,NA,NA,0,0,0,0,0,0,0,0,0,0,0
141408,câmara,CLEBER VERDE,PRB,MA,CleberVerde10 ‏,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204376,câmara,CORONEL ARMANDO,PSL,SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204378,câmara,CORONEL CHRISÓSTOMO,PSL,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204514,câmara,CORONEL TADEU,PSL,SP,CoronelTadeu,1473,463,228,27,73124,9444,63680,11,10,0,17245,3566,17245
178963,câmara,COVATTI FILHO,PP,RS,CovattiFilho,1857,962,1,1,6,5,1,3,2.5,0.5,5,5,1
135054,câmara,CRISTIANO VALE,PR,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204355,câmara,DA VITORIA,PPS,ES,josiasdavitoria,1713,180,33,0,80,80,0,2,2,0,8,8,0
141411,câmara,DAGOBERTO NOGUEIRA,PDT,MS,dagobertopdt,3547,2183,1,1,4,1,3,2,0.5,1.5,3,1,3
74467,câmara,DAMIÃO FELICIANO,PDT,PB,drdamiao,NA,NA,0,0,0,0,0,0,0,0,0,0,0
74060,câmara,DANIEL ALMEIDA,PCdoB,BA,Daniel_PCdoB‏,NA,NA,0,0,0,0,0,0,0,0,0,0,0
178916,câmara,DANIEL COELHO,PPS,PE,DanielCoelho23 ‏,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204367,câmara,DANIEL FREITAS,PSL,SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204454,câmara,DANIEL SILVEIRA,PSL,RJ,DanielPMERJ,2751,303,326,79,247553,36086,211467,8,3,0,12444,12444,9478
204409,câmara,DANIEL TRZECIAK,PSDB,RS,TrzeciakDaniel,1989,251,44,10,760,726,34,11,11,0,43,43,8
204459,câmara,DANIELA DO WAGUINHO,MDB,RJ,DanielaWaguinho,550,142,109,0,428,428,0,3,3,0,13,13,0
160528,câmara,DANILO CABRAL,PSB,PE,danilo4010 ‏,NA,NA,0,0,0,0,0,0,0,0,0,0,0
160552,câmara,DANRLEI DE DEUS HINTERHOLZ,PSD,RS,DanrleiFederal,NA,NA,0,0,0,0,0,0,0,0,0,0,0
116379,câmara,DARCI DE MATOS,PSD,SC,depdarcidematos,4188,1027,45,0,107,107,0,2,2,0,9,9,0
73891,câmara,DARCÍSIO PERONDI,MDB,RS,darcisioperondi,7101,2848,26,44,40555,28,40527,57,0,57,6137,6,6137
205548,câmara,DAVID MIRANDA,PSOL,RJ,davidmirandario,133979,660,134,89,1481212,1129205,352007,2250,287,0,102956,102956,62862
204511,câmara,DAVID SOARES,DEM,SP,DavidLouve,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204451,câmara,DELEGADO ANTÔNIO FURTADO,PSL,RJ,delegadofurtado,NA,NA,0,0,0,0,0,0,0,0,0,0,0
178908,câmara,DELEGADO ÉDER MAURO,PSD,PA,EderMauroPA,5482,1081,190,191,537640,4882,532758,30,0,0,33706,156,33706
204512,câmara,DELEGADO MARCELO FREITAS,PSL,MG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204569,câmara,DELEGADO PABLO,PSL,AM,DelegadoPablo_,659,489,94,3,29378,769,28609,7,7,0,19559,30,19559
164359,câmara,DELEGADO WALDIR,PSL,GO,delegado_waldir,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204542,câmara,DENIS BEZERRA,PSB,CE,denisbezerra,79,40,5,0,20,20,0,3,3,0,8,8,0
160588,câmara,DIEGO ANDRADE,PSD,MG,diegoandrade_mg,NA,NA,0,0,0,0,0,0,0,0,0,0,0
178929,câmara,DIEGO GARCIA,PODE,PR,diegogarciapr,1283,512,120,9,3277,755,2522,5,4,0,1532,48,1532
160599,câmara,DIMAS FABIANO,PP,MG,depdimasfabiano,NA,NA,0,0,0,0,0,0,0,0,0,0,0
143632,câmara,DOMINGOS NETO,PSD,CE,Domingos_Neto,9705,1157,32,3,1176,1172,4,5,5,0,1013,1013,2
160758,câmara,DOMINGOS SÁVIO,PSDB,MG,DomingosSavioMG,4389,274,75,2,610,607,3,2,2,0,318,318,2
204518,câmara,DR. FREDERICO,PATRI,MG,DrFredericoMG,21,128,39,3,234,71,163,2,2,0,69,6,69
204481,câmara,DR. JAZIEL,PR,CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204439,câmara,DR. LEONARDO,SOLIDARIEDADE,MT,DrLeonardomt,92,219,175,18,3698,64,3634,0,0,0,3561,7,3561
204450,câmara,DR. LUIZ ANTONIO TEIXEIRA JR.,PP,RJ,drluizantoniojr,424,274,50,6,97404,760,96644,8.5,8,0,95235,290,95235
204351,câmara,DR. LUIZ OVANDO,PSL,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204412,câmara,DR. ZACHARIAS CALIL,DEM,GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81297,câmara,DRA. SORAYA MANATO,PSL,ES,DraManato,466,47,25,0,225,225,0,7,7,0,31,31,0
204434,câmara,DRA. VANDA MILANI,SOLIDARIEDADE,AC,Vandamilani,NA,NA,0,0,0,0,0,0,0,0,0,0,0
178994,câmara,DULCE MIRANDA,MDB,TO,dulcemiranda_to,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204562,câmara,EDILÁZIO JÚNIOR,PSD,MA,DepEdilazioJr,NA,NA,0,0,0,0,0,0,0,0,0,0,0
141417,câmara,EDIO LOPES,PR,RR,ediolopes,2510,463,197,0,113,113,0,0,0,0,4,4,0
134812,câmara,EDMILSON RODRIGUES,PSOL,PA,EdmilsonPSOL,26484,5334,210,120,66059,17094,48965,26,6.5,0,8485,6525,8485
204421,câmara,EDNA HENRIQUE,PSDB,PB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74655,câmara,EDUARDO BARBOSA,PSDB,MG,eduardobarbosa_,3213,239,77,15,220,125,95,1,1,0,46,7,46
204541,câmara,EDUARDO BISMARCK,PDT,CE,eduardobismarck,512,410,101,8,10040,235,9805,2,1,0,9794,20,9794
92346,câmara,EDUARDO BOLSONARO,PSL,SP,bolsonarosp,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204552,câmara,EDUARDO BRAIDE,PMN,MA,SouEduardo33,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204500,câmara,EDUARDO COSTA,PTB,PA,dep_eduardo,768,1090,39,0,75,75,0,2,2,0,6,6,0
178977,câmara,EDUARDO CURY,PSDB,SP,eduardo_cury,NA,NA,0,0,0,0,0,0,0,0,0,0,0
141421,câmara,EDUARDO DA FONTE,PP,PE,eduardodafonte,NA,NA,0,0,0,0,0,0,0,0,0,0,0
141422,câmara,EFRAIM FILHO,DEM,PB,efraimfilho,27351,21197,27,0,183,183,0,5,5,0,37,37,0
74075,câmara,ELCIONE BARBALHO,MDB,PA,elcionepmdb,6254,668,35,3,552,531,21,10,10,0,56,56,11
204364,câmara,ELI BORGES,SOLIDARIEDADE,TO,elidiasborges,656,124,24,0,19,19,0,0,0,0,9,9,0
160532,câmara,ELI CORRÊA FILHO,DEM,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204389,câmara,ELIAS VAZ,PSB,GO,EliasVazGyn,NA,NA,0,0,0,0,0,0,0,0,0,0,0
178854,câmara,ELMAR NASCIMENTO,DEM,BA,ElmarNascimento,NA,NA,0,0,0,0,0,0,0,0,0,0,0
198783,câmara,EMANUEL PINHEIRO NETO,PTB,MT,emanuelzinhomt,159,243,84,9,283,270,13,3,3,0,11,11,3
161550,câmara,EMIDINHO MADEIRA,PSB,MG,emidinhomadeira,NA,NA,0,0,0,0,0,0,0,0,0,0,0
207309,câmara,ENÉIAS REIS,PSL,MG,DepEneiasReis,NA,NA,0,0,0,0,0,0,0,0,0,0,0
132504,câmara,ENIO VERRI,PT,PR,enioverri,17219,177,147,327,732528,35648,696880,368,0,254,55731,3553,55731
204537,câmara,ENRICO MISASI,PV,SP,enricomisasi,NA,NA,0,0,0,0,0,0,0,0,0,0,0
160575,câmara,ERIKA KOKAY,PT,DF,erikakokay,55429,560,585,100,542528,399334,143194,253,167,0,16764,12867,16764
160640,câmara,EROS BIONDINI,PROS,MG,erosbiondini,79557,1032,167,26,38790,5126,33664,27,24,0,11811,156,11811
204482,câmara,EUCLYDES PETTERSEN,PSC,MG,EuclydesPetter,53,0,7,0,5,5,0,0,0,0,2,2,0
178871,câmara,EVAIR VIEIRA DE MELO,PP,ES,EvairdeMelo,1882,412,204,57,4605,308,4297,1,0,0,4215,23,4215
178930,câmara,EVANDRO ROMAN,PSD,PR,roman_evandro,2721,612,51,1,86,84,2,1,1,0,8,8,2
178953,câmara,EXPEDITO NETTO,PSD,RO,netto_expedito,1122,122,21,4,71,41,30,2,1,0,26,6,26
141428,câmara,FÁBIO FARIA,PSD,RN,fabiofaria33,NA,NA,0,0,0,0,0,0,0,0,0,0,0
68720,câmara,FÁBIO HENRIQUE,PDT,SE,FabioHenriqueSE,8064,692,17,3,123,112,11,5,4.5,0,23,23,8
178969,câmara,FÁBIO MITIDIERI,PSD,SE,depfmitidieri,4727,594,236,25,21817,1334,20483,4,4,0,10591,39,10591
141427,câmara,FÁBIO RAMALHO,MDB,MG,_FabinhoRamalho,NA,NA,0,0,0,0,0,0,0,0,0,0,0
171623,câmara,FABIO REIS,MDB,SE,fabioreis1515,4280,1392,60,4,131,115,16,1,1,0,13,12,13
204368,câmara,FABIO SCHIOCHET,PSL,SC,deputadofabiosc,NA,NA,0,0,0,0,0,0,0,0,0,0,0
160587,câmara,FÁBIO TRAD,PSD,MS,f_trad,3649,510,95,115,80849,1737,79112,13,0,1,9245,287,9245
66828,câmara,FAUSTO PINATO,PP,SP,faustopinato,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204477,câmara,FELÍCIO LATERÇA,PSL,RJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72442,câmara,FELIPE CARRERAS,PSB,PE,felipecarreras,20534,847,30,6,564,525,39,11,10,0,73,73,17
204398,câmara,FELIPE FRANCISCHINI,PSL,PR,FFrancischini_,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204371,câmara,FELIPE RIGONI,PSB,ES,rigoni_felipe,1274,51,103,7,1589,1457,132,7,6,0,222,222,83
160666,câmara,FÉLIX MENDONÇA JÚNIOR,PDT,BA,felixMendoncaJr,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204407,câmara,FERNANDA MELCHIONNA,PSOL,RS,fernandapsol,21860,713,717,84,182458,100499,81959,55,44,0,11103,3678,11103
141431,câmara,FERNANDO COELHO FILHO,DEM,PE,FBCFilho,5108,454,6,7,60,26,34,3,0,1,19,8,19
204445,câmara,FERNANDO MINEIRO,PT,RN,mineiroptrn,20041,1018,42,140,130395,539,129856,34.5,0,26.5,17693,51,17693
92699,câmara,FERNANDO MONTEIRO,PP,PE,fmonteirope,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204427,câmara,FERNANDO RODOLFO,PR,PE,fernandorodolfo,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204411,câmara,FILIPE BARROS,PSL,PR,filipebarrost,1334,160,43,79,204067,753,203314,24.5,0,15,29607,129,29607
204354,câmara,FLÁVIA ARRUDA,PR,DF,flaviaarrudadf,NA,NA,0,0,0,0,0,0,0,0,0,0,0
160598,câmara,FLÁVIA MORAIS,PDT,GO,depflaviamorais,NA,NA,0,0,0,0,0,0,0,0,0,0,0
141434,câmara,FLAVIANO MELO,MDB,AC,flaviano_melo,NA,NA,0,0,0,0,0,0,0,0,0,0,0
191923,câmara,FLAVIO NOGUEIRA,PDT,PI,flavionoguera,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204447,câmara,FLORDELIS,PSD,RJ,Flordelismk,137344,819,69,31,1648,1476,172,13,12,0,110,110,20
204392,câmara,FRANCISCO JR.,PSD,GO,franciscojr_go,4501,812,67,4,9013,539,8474,7,7,0,3767,37,3767
204510,câmara,FRANCO CARTAFINA,PHS,MG,FrancoCartafina,1320,272,10,1,86,78,8,9,9,0,19,19,8
204494,câmara,FRED COSTA,PATRI,MG,fredcosta5133,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204393,câmara,FREI ANASTACIO RIBEIRO,PT,PB,freianastacioal,NA,NA,0,0,0,0,0,0,0,0,0,0,0
115746,câmara,GELSON AZEVEDO,PR,RJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160669,câmara,GENECIAS NORONHA,SOLIDARIEDADE,CE,depgenecias,NA,NA,0,0,0,0,0,0,0,0,0,0,0
204473,câmara,GENERAL GIRÃO,PSL,RN,GeneralGirao,56346,187,138,55,303815,169549,134266,686,131,0,15506,14184,15506
204484,câmara,GENERAL PETERNELLI,PSL,SP,GenPeternelli,8027,1640,120,412,1066972,7003,1059969,571,0,545,56555,1959,56555
204527,câmara,GENINHO ZULIANI,DEM,SP,geninhozuliani,1731,963,76,28,8397,228,8169,3,1,0,3213,9,3213
178966,câmara,GEOVANIA DE SÁ,PSDB,SC,geovaniadesa,3579,1417,18,15,568,469,99,10,1,0,165,165,22
74374,câmara,GERALDO RESENDE,PSDB,MS,dep_geraldo,5514,3476,7,0,26,26,0,3,3,0,11,11,0
204394,câmara,GERVÁSIO MAIA,PSB,PB,gervasiomaia,10731,8421,52,49,626,481,145,4,2,0,56,56,41
74383,câmara,GIACOBO,PR,PR,fernandogiacobo,1349,237,8,0,6,6,0,0.5,0.5,0,2,2,0
